class,x1-x0,y1-y0,z1-z0,x2-x1,y2-y1,z2-z1,x3-x2,y3-y2,z3-z2,x4-x3,y4-y3,z4-z3,x5-x4,y5-y4,z5-z4,x6-x5,y6-y5,z6-z5,x7-x6,y7-y6,z7-z6,x8-x7,y8-y7,z8-z7,x9-x8,y9-y8,z9-z8,x10-x9,y10-y9,z10-z9,x11-x10,y11-y10,z11-z10,x12-x11,y12-y11,z12-z11,x13-x12,y13-y12,z13-z12,x14-x13,y14-y13,z14-z13,x15-x14,y15-y14,z15-z14,x16-x15,y16-y15,z16-z15,x17-x16,y17-y16,z17-z16,x18-x17,y18-y17,z18-z17,x19-x18,y19-y18,z19-z18,x20-x19,y20-y19,z20-z19,x21-x20,y21-y20,z21-z20,x22-x21,y22-y21,z22-z21,x23-x22,y23-y22,z23-z22,x24-x23,y24-y23,z24-z23,x25-x24,y25-y24,z25-z24,x26-x25,y26-y25,z26-z25,x27-x26,y27-y26,z27-z26,x28-x27,y28-y27,z28-z27,x29-x28,y29-y28,z29-z28,x30-x29,y30-y29,z30-z29,x31-x30,y31-y30,z31-z30,x32-x31,y32-y31,z32-z31,x33-x32,y33-y32,z33-z32,x34-x33,y34-y33,z34-z33,x35-x34,y35-y34,z35-z34,x36-x35,y36-y35,z36-z35,x37-x36,y37-y36,z37-z36,x38-x37,y38-y37,z38-z37,x39-x38,y39-y38,z39-z38,x40-x39,y40-y39,z40-z39,x41-x40,y41-y40,z41-z40,x42-x41,y42-y41,z42-z41,x43-x42,y43-y42,z43-z42,x44-x43,y44-y43,z44-z43,x45-x44,y45-y44,z45-z44,x46-x45,y46-y45,z46-z45,x47-x46,y47-y46,z47-z46,x48-x47,y48-y47,z48-z47,x49-x48,y49-y48,z49-z48,x50-x49,y50-y49,z50-z49,x51-x50,y51-y50,z51-z50,x52-x51,y52-y51,z52-z51,x53-x52,y53-y52,z53-z52,x54-x53,y54-y53,z54-z53,x55-x54,y55-y54,z55-z54,x56-x55,y56-y55,z56-z55,x57-x56,y57-y56,z57-z56,x58-x57,y58-y57,z58-z57,x59-x58,y59-y58,z59-z58,x60-x59,y60-y59,z60-z59,x61-x60,y61-y60,z61-z60,x62-x61,y62-y61,z62-z61,x63-x62,y63-y62,z63-z62,x64-x63,y64-y63,z64-z63,x65-x64,y65-y64,z65-z64,x66-x65,y66-y65,z66-z65,x67-x66,y67-y66,z67-z66,x68-x67,y68-y67,z68-z67,x69-x68,y69-y68,z69-z68,x70-x69,y70-y69,z70-z69,x71-x70,y71-y70,z71-z70,x72-x71,y72-y71,z72-z71,x73-x72,y73-y72,z73-z72,x74-x73,y74-y73,z74-z73,x75-x74,y75-y74,z75-z74,x76-x75,y76-y75,z76-z75,x77-x76,y77-y76,z77-z76,x78-x77,y78-y77,z78-z77,x79-x78,y79-y78,z79-z78,x80-x79,y80-y79,z80-z79,x81-x80,y81-y80,z81-z80,x82-x81,y82-y81,z82-z81,x83-x82,y83-y82,z83-z82,x84-x83,y84-y83,z84-z83,x85-x84,y85-y84,z85-z84,x86-x85,y86-y85,z86-z85,x87-x86,y87-y86,z87-z86,x88-x87,y88-y87,z88-z87,x89-x88,y89-y88,z89-z88,minx,miny,mine,maxx,maxy,maxe
2,0,1,1.0,0,0,0.0,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,1,0,1.0,1,1,1.4142135623730951,1,0,1.0,2,-1,2.23606797749979,2,0,2.0,2,-2,2.8284271247461903,2,-2,2.8284271247461903,0,0,0.0,0,-1,1.0,-2,0,2.0,-3,0,3.0,-4,0,4.0,-3,1,3.1622776601683795,-1,2,2.23606797749979,0,0,0.0,2,2,2.8284271247461903,5,3,5.830951894845301,7,5,8.602325267042627,10,6,11.661903789690601,10,7,12.206555615733702,9,5,10.295630140987,7,5,8.602325267042627,4,3,5.0,-1,1,1.4142135623730951,-5,1,5.0990195135927845,-8,0,8.0,-10,-1,10.04987562112089,-10,-2,10.198039027185569,-8,-1,8.06225774829855,-5,-2,5.385164807134504,-1,-1,1.4142135623730951,1,0,1.0,7,2,7.280109889280518,11,5,12.083045973594572,14,7,15.652475842498529,13,8,15.264337522473747,13,8,15.264337522473747,9,7,11.40175425099138,7,7,9.899494936611665,3,4,5.0,1,2,2.23606797749979,0,1,1.0,-1,-2,2.23606797749979,-2,-3,3.605551275463989,-3,-5,5.830951894845301,-5,-5,7.0710678118654755,-5,-6,7.810249675906654,-4,-4,5.656854249492381,-3,-4,5.0,-3,0,3.0,0,0,0.0,0,1,1.0,0,1,1.0,0,2,2.0,-2,2,2.8284271247461903,-4,2,4.47213595499958,-6,3,6.708203932499369,-9,5,10.295630140987,-11,4,11.704699910719626,-13,3,13.341664064126334,-15,2,15.132745950421556,-13,1,13.038404810405298,-13,-1,13.038404810405298,-10,-1,10.04987562112089,-5,-2,5.385164807134504,-2,-1,2.23606797749979,-2,-4,4.47213595499958,-1,-1,1.4142135623730951,0,0,0.0,3,1,3.1622776601683795,7,3,7.615773105863909,11,4,11.704699910719626,10,3,10.44030650891055,4,2,4.47213595499958,0,1,1.0,-2,5,5.385164807134504,-2,10,10.198039027185569,0,14,14.0,5,12,13.0,4,13,13.601470508735444,2,11,11.180339887498949,1,9,9.055385138137417,0,6,6.0,0,0,0.0,15,14,15.652475842498529
2,-1,0,1.0,0,1,1.0,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,1,1,1.4142135623730951,1,0,1.0,0,1,1.0,3,0,3.0,2,0,2.0,2,0,2.0,1,-1,1.4142135623730951,1,0,1.0,-1,0,1.0,-1,0,1.0,-4,0,4.0,-4,1,4.123105625617661,-3,1,3.1622776601683795,-2,1,2.23606797749979,0,0,0.0,2,2,2.8284271247461903,4,3,5.0,6,4,7.211102550927978,9,5,10.295630140987,10,6,11.661903789690601,9,5,10.295630140987,7,5,8.602325267042627,4,3,5.0,-1,1,1.4142135623730951,-5,1,5.0990195135927845,-8,0,8.0,-10,-2,10.198039027185569,-10,-1,10.04987562112089,-9,-2,9.219544457292887,-5,-2,5.385164807134504,-2,0,2.0,1,1,1.4142135623730951,8,3,8.54400374531753,12,6,13.416407864998739,13,7,14.7648230602334,15,7,16.55294535724685,13,7,14.7648230602334,10,7,12.206555615733702,8,5,9.433981132056603,4,5,6.4031242374328485,1,2,2.23606797749979,0,0,0.0,-1,0,1.0,-3,-2,3.605551275463989,-4,-3,5.0,-6,-5,7.810249675906654,-5,-5,7.0710678118654755,-6,-3,6.708203932499369,-4,-3,5.0,-4,-1,4.123105625617661,-1,0,1.0,0,0,0.0,1,1,1.4142135623730951,-1,1,1.4142135623730951,-3,1,3.1622776601683795,-5,1,5.0990195135927845,-8,1,8.06225774829855,-10,2,10.198039027185569,-12,2,12.165525060596439,-13,1,13.038404810405298,-14,2,14.142135623730951,-12,0,12.0,-11,-2,11.180339887498949,-10,-3,10.44030650891055,-6,-2,6.324555320336759,-4,-4,5.656854249492381,-3,-5,5.830951894845301,-2,-3,3.605551275463989,0,0,0.0,2,1,2.23606797749979,7,4,8.06225774829855,10,5,11.180339887498949,9,4,9.848857801796104,4,4,5.656854249492381,0,0,0.0,-3,4,5.0,-2,6,6.324555320336759,1,11,11.045361017187261,5,9,10.295630140987,4,9,9.848857801796104,2,9,9.219544457292887,2,6,6.324555320336759,1,4,4.123105625617661,0,0,0.0,15,11,16.55294535724685
2,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.4142135623730951,0,0,0.0,1,-1,1.4142135623730951,3,0,3.0,2,-1,2.23606797749979,2,-2,2.8284271247461903,1,-2,2.23606797749979,0,-1,1.0,-1,0,1.0,-1,-1,1.4142135623730951,-3,0,3.0,-3,1,3.1622776601683795,-2,1,2.23606797749979,-1,1,1.4142135623730951,0,0,0.0,2,2,2.8284271247461903,4,3,5.0,7,6,9.219544457292887,10,6,11.661903789690601,9,6,10.816653826391969,9,6,10.816653826391969,7,5,8.602325267042627,2,3,3.605551275463989,-1,1,1.4142135623730951,-4,1,4.123105625617661,-7,0,7.0,-10,-1,10.04987562112089,-9,-2,9.219544457292887,-7,-2,7.280109889280518,-4,-2,4.47213595499958,-1,-1,1.4142135623730951,1,0,1.0,5,2,5.385164807134504,11,4,11.704699910719626,12,7,13.892443989449804,12,8,14.422205101855956,11,9,14.212670403551895,9,8,12.041594578792296,6,8,10.0,4,4,5.656854249492381,1,2,2.23606797749979,0,0,0.0,-1,-1,1.4142135623730951,-2,-4,4.47213595499958,-3,-6,6.708203932499369,-4,-6,7.211102550927978,-4,-7,8.06225774829855,-4,-4,5.656854249492381,-2,-3,3.605551275463989,-2,0,2.0,0,0,0.0,0,0,0.0,1,1,1.4142135623730951,0,1,1.0,-1,2,2.23606797749979,-2,3,3.605551275463989,-5,3,5.830951894845301,-6,7,9.219544457292887,-10,5,11.180339887498949,-12,4,12.649110640673518,-14,2,14.142135623730951,-14,1,14.035668847618199,-13,0,13.0,-11,-1,11.045361017187261,-3,-1,3.1622776601683795,-2,-1,2.23606797749979,0,-1,1.0,-1,-1,1.4142135623730951,0,0,0.0,2,1,2.23606797749979,8,3,8.54400374531753,10,3,10.44030650891055,10,3,10.44030650891055,4,2,4.47213595499958,0,1,1.0,-1,5,5.0990195135927845,0,13,13.0,0,15,15.0,5,14,14.866068747318506,4,14,14.560219778561036,3,13,13.341664064126334,1,9,9.055385138137417,1,7,7.0710678118654755,0,0,0.0,14,15,15.0
2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,2,0,2.0,3,1,3.1622776601683795,4,2,4.47213595499958,4,3,5.0,4,4,5.656854249492381,3,1,3.1622776601683795,0,0,0.0,0,0,0.0,0,0,0.0,-3,1,3.1622776601683795,-3,1,3.1622776601683795,-3,1,3.1622776601683795,-2,1,2.23606797749979,-1,1,1.4142135623730951,0,0,0.0,1,1,1.4142135623730951,2,2,2.8284271247461903,5,2,5.385164807134504,6,3,6.708203932499369,6,2,6.324555320336759,7,3,7.615773105863909,4,1,4.123105625617661,0,0,0.0,-1,1,1.4142135623730951,-3,1,3.1622776601683795,-5,0,5.0,-6,1,6.082762530298219,-7,0,7.0,-5,0,5.0,-4,0,4.0,-2,0,2.0,0,-1,1.0,1,-1,1.4142135623730951,4,-1,4.123105625617661,5,0,5.0,5,-1,5.0990195135927845,3,-2,3.605551275463989,2,-4,4.47213595499958,0,-4,4.0,-4,-8,8.94427190999916,-6,-9,10.816653826391969,-6,-8,10.0,-8,-6,10.0,-8,-5,9.433981132056603,-7,-3,7.615773105863909,-7,-2,7.280109889280518,-4,-2,4.47213595499958,-4,-3,5.0,-5,-4,6.4031242374328485,-6,-5,7.810249675906654,-5,-5,7.0710678118654755,-3,-7,7.615773105863909,0,-10,10.0,-2,-7,7.280109889280518,1,-8,8.06225774829855,3,-8,8.54400374531753,3,-10,10.44030650891055,3,-11,11.40175425099138,1,-12,12.041594578792296,-1,-12,12.041594578792296,-3,-11,11.40175425099138,-5,-13,13.92838827718412,-8,-10,12.806248474865697,-7,-10,12.206555615733702,-7,-8,10.63014581273465,-2,-3,3.605551275463989,4,-2,4.47213595499958,4,-3,5.0,5,-2,5.385164807134504,4,-1,4.123105625617661,0,-1,1.0,-8,-4,8.94427190999916,-13,-3,13.341664064126334,-13,-3,13.341664064126334,-8,0,8.0,-7,0,7.0,-4,0,4.0,3,1,3.1622776601683795,6,3,6.708203932499369,7,4,8.06225774829855,5,4,6.4031242374328485,6,3,6.708203932499369,4,0,4.0,0,0,0.0,13,13,13.92838827718412
2,0,1,1.0,0,0,0.0,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,1,1,1.4142135623730951,0,0,0.0,1,1,1.4142135623730951,2,-1,2.23606797749979,2,0,2.0,2,-1,2.23606797749979,1,-1,1.4142135623730951,0,-1,1.0,0,0,0.0,-2,-1,2.23606797749979,-3,0,3.0,-4,1,4.123105625617661,-3,0,3.0,-2,1,2.23606797749979,0,1,1.0,2,2,2.8284271247461903,5,3,5.830951894845301,6,4,7.211102550927978,9,5,10.295630140987,10,6,11.661903789690601,9,5,10.295630140987,8,4,8.94427190999916,3,3,4.242640687119285,-1,1,1.4142135623730951,-5,1,5.0990195135927845,-8,0,8.0,-10,-1,10.04987562112089,-10,-2,10.198039027185569,-8,-2,8.246211251235321,-5,-1,5.0990195135927845,-2,-1,2.23606797749979,1,1,1.4142135623730951,7,2,7.280109889280518,11,5,12.083045973594572,13,7,14.7648230602334,13,7,14.7648230602334,12,7,13.892443989449804,10,7,12.206555615733702,7,7,9.899494936611665,3,4,5.0,2,2,2.8284271247461903,0,0,0.0,-2,-1,2.23606797749979,-3,-2,3.605551275463989,-3,-5,5.830951894845301,-6,-5,7.810249675906654,-4,-5,6.4031242374328485,-5,-4,6.4031242374328485,-4,-3,5.0,-3,-1,3.1622776601683795,0,0,0.0,0,0,0.0,0,1,1.0,0,2,2.0,-2,1,2.23606797749979,-4,2,4.47213595499958,-6,2,6.324555320336759,-8,4,8.94427190999916,-10,2,10.198039027185569,-11,3,11.40175425099138,-12,2,12.165525060596439,-12,0,12.0,-9,0,9.0,-8,-2,8.246211251235321,-6,-1,6.082762530298219,-2,-3,3.605551275463989,-3,-4,5.0,-1,-2,2.23606797749979,0,0,0.0,2,1,2.23606797749979,6,2,6.324555320336759,9,4,9.848857801796104,9,3,9.486832980505138,3,2,3.605551275463989,0,1,1.0,-3,4,5.0,-2,8,8.246211251235321,0,11,11.0,4,10,10.770329614269007,4,11,11.704699910719626,2,9,9.219544457292887,1,7,7.0710678118654755,1,6,6.082762530298219,0,0,0.0,13,11,14.7648230602334
2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,2,0,2.0,4,1,4.123105625617661,4,2,4.47213595499958,5,3,5.830951894845301,4,3,5.0,3,1,3.1622776601683795,0,0,0.0,1,0,1.0,0,0,0.0,-1,1,1.4142135623730951,-3,1,3.1622776601683795,-2,1,2.23606797749979,-2,1,2.23606797749979,0,0,0.0,0,0,0.0,1,1,1.4142135623730951,2,1,2.23606797749979,4,2,4.47213595499958,6,2,6.324555320336759,6,2,6.324555320336759,6,2,6.324555320336759,3,0,3.0,1,1,1.4142135623730951,0,0,0.0,-3,1,3.1622776601683795,-4,1,4.123105625617661,-5,1,5.0990195135927845,-1,0,1.0,-4,1,4.123105625617661,-3,0,3.0,0,0,0.0,0,-1,1.0,0,-1,1.0,3,-1,3.1622776601683795,5,-2,5.385164807134504,4,-1,4.123105625617661,2,-3,3.605551275463989,1,-4,4.123105625617661,-1,-6,6.082762530298219,-5,-8,9.433981132056603,-6,-9,10.816653826391969,-8,-8,11.313708498984761,-9,-6,10.816653826391969,-8,-4,8.94427190999916,-8,-2,8.246211251235321,-6,-2,6.324555320336759,-5,-2,5.385164807134504,-4,-3,5.0,-7,-4,8.06225774829855,-7,-5,8.602325267042627,-6,-6,8.48528137423857,-4,-7,8.06225774829855,-2,-11,11.180339887498949,-3,-8,8.54400374531753,0,-9,9.0,2,-8,8.246211251235321,2,-11,11.180339887498949,2,-12,12.165525060596439,0,-13,13.0,-1,-13,13.038404810405298,-5,-12,13.0,-6,-11,12.529964086141668,-9,-9,12.727922061357855,-8,-8,11.313708498984761,-7,-7,9.899494936611665,-3,-3,4.242640687119285,4,-4,5.656854249492381,4,-3,5.0,5,-1,5.0990195135927845,3,-1,3.1622776601683795,-1,0,1.0,-8,0,8.0,-13,0,13.0,-12,0,12.0,-8,0,8.0,-5,0,5.0,-2,0,2.0,2,1,2.23606797749979,7,2,7.280109889280518,7,4,8.06225774829855,6,3,6.708203932499369,5,3,5.830951894845301,5,-1,5.0990195135927845,0,0,0.0,13,13,13.038404810405298
2,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,0,1,1.0,0,0,0.0,1,0,1.0,0,0,0.0,1,0,1.0,2,0,2.0,2,-1,2.23606797749979,2,-1,2.23606797749979,1,-2,2.23606797749979,-1,0,1.0,0,-1,1.0,-2,0,2.0,-3,0,3.0,-4,0,4.0,-2,0,2.0,-1,1,1.4142135623730951,0,1,1.0,2,2,2.8284271247461903,4,3,5.0,7,4,8.06225774829855,8,6,10.0,10,6,11.661903789690601,8,6,10.0,7,5,8.602325267042627,2,3,3.605551275463989,-1,1,1.4142135623730951,-5,1,5.0990195135927845,-7,-1,7.0710678118654755,-10,-1,10.04987562112089,-9,-2,9.219544457292887,-7,-2,7.280109889280518,-5,-2,5.385164807134504,-2,-1,2.23606797749979,1,0,1.0,6,2,6.324555320336759,10,5,11.180339887498949,11,7,13.038404810405298,12,8,14.422205101855956,11,8,13.601470508735444,9,8,12.041594578792296,6,7,9.219544457292887,4,5,6.4031242374328485,1,2,2.23606797749979,0,0,0.0,-1,-1,1.4142135623730951,-3,-4,5.0,-3,-6,6.708203932499369,-5,-6,7.810249675906654,-4,-6,7.211102550927978,-3,-4,5.0,-3,-3,4.242640687119285,-2,-1,2.23606797749979,0,0,0.0,0,0,0.0,0,2,2.0,0,1,1.0,-1,1,1.4142135623730951,-2,3,3.605551275463989,-5,2,5.385164807134504,-6,5,7.810249675906654,-9,3,9.486832980505138,-10,4,10.770329614269007,-12,2,12.165525060596439,-12,1,12.041594578792296,-11,-1,11.045361017187261,-8,-1,8.06225774829855,-4,-1,4.123105625617661,-1,-2,2.23606797749979,-2,-2,2.8284271247461903,-1,-1,1.4142135623730951,0,0,0.0,3,1,3.1622776601683795,6,3,6.708203932499369,9,3,9.486832980505138,9,2,9.219544457292887,3,2,3.605551275463989,0,1,1.0,-2,5,5.385164807134504,-1,10,10.04987562112089,1,12,12.041594578792296,3,12,12.36931687685298,4,12,12.649110640673518,2,11,11.180339887498949,1,8,8.06225774829855,1,7,7.0710678118654755,0,0,0.0,12,12,14.422205101855956
2,0,0,0.0,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,1,0,1.0,3,-1,3.1622776601683795,3,-1,3.1622776601683795,2,-2,2.8284271247461903,3,-2,3.605551275463989,0,0,0.0,0,0,0.0,-1,0,1.0,-3,0,3.0,-4,1,4.123105625617661,-2,1,2.23606797749979,0,1,1.0,0,0,0.0,1,1,1.4142135623730951,5,3,5.830951894845301,7,5,8.602325267042627,9,7,11.40175425099138,10,6,11.661903789690601,8,5,9.433981132056603,7,4,8.06225774829855,2,2,2.8284271247461903,0,1,1.0,-4,1,4.123105625617661,-7,1,7.0710678118654755,-9,0,9.0,-9,-1,9.055385138137417,-7,0,7.0,-4,-1,4.123105625617661,0,0,0.0,0,0,0.0,6,0,6.0,11,4,11.704699910719626,13,5,13.92838827718412,2,2,2.8284271247461903,11,8,13.601470508735444,8,7,10.63014581273465,6,7,9.219544457292887,3,4,5.0,1,2,2.23606797749979,0,0,0.0,0,-1,1.0,-1,-2,2.23606797749979,-3,-6,6.708203932499369,-3,-4,5.0,-4,-6,7.211102550927978,-3,-4,5.0,-2,-2,2.8284271247461903,-1,1,1.4142135623730951,0,0,0.0,0,0,0.0,0,1,1.0,0,2,2.0,-1,4,4.123105625617661,-3,4,5.0,-5,5,7.0710678118654755,-8,9,12.041594578792296,-11,6,12.529964086141668,-14,6,15.231546211727817,-17,5,17.72004514666935,-16,2,16.1245154965971,-14,0,14.0,-1,0,1.0,-2,0,2.0,-2,-1,2.23606797749979,-1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.4142135623730951,4,1,4.123105625617661,8,2,8.246211251235321,5,2,5.385164807134504,0,0,0.0,-1,7,7.0710678118654755,0,12,12.0,1,17,17.029386365926403,5,16,16.76305461424021,5,14,14.866068747318506,2,14,14.142135623730951,1,9,9.055385138137417,0,7,7.0,0,0,0.0,17,17,17.72004514666935
2,0,0,0.0,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,3,-1,3.1622776601683795,1,-1,1.4142135623730951,1,-1,1.4142135623730951,1,-2,2.23606797749979,0,-1,1.0,0,0,0.0,-1,0,1.0,-3,0,3.0,-3,0,3.0,-1,0,1.0,0,1,1.0,0,0,0.0,1,2,2.23606797749979,4,3,5.0,6,5,7.810249675906654,8,5,9.433981132056603,9,6,10.816653826391969,9,6,10.816653826391969,6,4,7.211102550927978,2,3,3.605551275463989,-1,1,1.4142135623730951,-4,1,4.123105625617661,-7,-1,7.0710678118654755,-9,-1,9.055385138137417,-8,-3,8.54400374531753,-6,-1,6.082762530298219,-5,-2,5.385164807134504,-1,-2,2.23606797749979,1,0,1.0,4,1,4.123105625617661,9,4,9.848857801796104,11,7,13.038404810405298,12,8,14.422205101855956,11,9,14.212670403551895,8,8,11.313708498984761,7,7,9.899494936611665,3,5,5.830951894845301,1,1,1.4142135623730951,-1,0,1.0,-1,-1,1.4142135623730951,-2,-5,5.385164807134504,-4,-6,7.211102550927978,-3,-6,6.708203932499369,-4,-7,8.06225774829855,-3,-4,5.0,-3,-3,4.242640687119285,-1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,1,1,1.4142135623730951,0,1,1.0,0,2,2.0,-1,2,2.23606797749979,-3,3,4.242640687119285,-4,7,8.06225774829855,-8,4,8.94427190999916,-11,5,12.083045973594572,-13,3,13.341664064126334,-13,1,13.038404810405298,-11,0,11.0,-9,0,9.0,-3,0,3.0,-1,-2,2.23606797749979,0,-1,1.0,-1,0,1.0,0,0,0.0,2,0,2.0,7,3,7.615773105863909,9,3,9.486832980505138,8,2,8.246211251235321,3,2,3.605551275463989,0,0,0.0,0,5,5.0,1,13,13.038404810405298,2,14,14.142135623730951,5,14,14.866068747318506,4,13,13.601470508735444,3,13,13.341664064126334,2,9,9.219544457292887,1,7,7.0710678118654755,0,0,0.0,13,14,14.866068747318506
2,-1,0,1.0,0,1,1.0,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,1,1,1.4142135623730951,0,0,0.0,1,1,1.4142135623730951,2,0,2.0,1,0,1.0,2,-1,2.23606797749979,1,-1,1.4142135623730951,0,0,0.0,-1,0,1.0,-2,0,2.0,-3,0,3.0,-4,0,4.0,-3,0,3.0,-2,1,2.23606797749979,0,1,1.0,1,1,1.4142135623730951,3,3,4.242640687119285,6,3,6.708203932499369,8,5,9.433981132056603,9,5,10.295630140987,8,5,9.433981132056603,7,4,8.06225774829855,3,3,4.242640687119285,-1,1,1.4142135623730951,-5,1,5.0990195135927845,-7,-1,7.0710678118654755,-9,-1,9.055385138137417,-10,-2,10.198039027185569,-7,-1,7.0710678118654755,-5,-2,5.385164807134504,-2,0,2.0,1,1,1.4142135623730951,6,3,6.708203932499369,10,5,11.180339887498949,12,7,13.892443989449804,12,7,13.892443989449804,12,8,14.422205101855956,9,7,11.40175425099138,6,6,8.48528137423857,4,5,6.4031242374328485,1,2,2.23606797749979,0,0,0.0,-2,0,2.0,-3,-3,4.242640687119285,-3,-4,5.0,-6,-5,7.810249675906654,-4,-5,6.4031242374328485,-5,-3,5.830951894845301,-4,-3,5.0,-3,-2,3.605551275463989,-1,0,1.0,1,0,1.0,0,1,1.0,0,1,1.0,-2,0,2.0,-3,1,3.1622776601683795,-5,1,5.0990195135927845,-7,2,7.280109889280518,-8,2,8.246211251235321,-9,2,9.219544457292887,-10,1,10.04987562112089,-8,0,8.0,-9,-1,9.055385138137417,-8,-3,8.54400374531753,-5,-2,5.385164807134504,-4,-4,5.656854249492381,-3,-5,5.830951894845301,-1,-2,2.23606797749979,0,-1,1.0,2,1,2.23606797749979,5,3,5.830951894845301,8,5,9.433981132056603,7,4,8.06225774829855,4,3,5.0,-1,0,1.0,-3,3,4.242640687119285,-2,6,6.324555320336759,0,9,9.0,3,8,8.54400374531753,4,8,8.94427190999916,1,8,8.06225774829855,1,6,6.082762530298219,0,4,4.0,0,0,0.0,12,9,14.422205101855956
2,-1,1,1.4142135623730951,0,0,0.0,0,0,0.0,0,1,1.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,1,0,1.0,1,0,1.0,4,-1,4.123105625617661,3,-1,3.1622776601683795,2,-1,2.23606797749979,1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,-1,0,1.0,-4,1,4.123105625617661,0,0,0.0,0,0,0.0,0,1,1.0,0,0,0.0,4,0,4.0,0,0,0.0,1,0,1.0,0,0,0.0,1,1,1.4142135623730951,0,-1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1.0,-3,0,3.0,0,0,0.0,-8,0,8.0,-5,0,5.0,0,0,0.0,0,0,0.0,4,0,4.0,15,1,15.033296378372908,15,1,15.033296378372908,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,-1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1.0,0,0,0.0,-1,1,1.4142135623730951,-8,5,9.433981132056603,-11,7,13.038404810405298,-16,8,17.88854381999832,-19,6,19.924858845171276,-24,8,25.298221281347036,-28,5,28.442925306655784,-28,3,28.160255680657446,-27,-1,27.018512172212592,-22,-3,22.20360331117452,-15,-2,15.132745950421556,-4,-3,5.0,-4,-6,7.211102550927978,-3,-2,3.605551275463989,0,0,0.0,4,1,4.123105625617661,12,4,12.649110640673518,16,5,16.76305461424021,17,4,17.46424919657298,7,4,8.06225774829855,1,0,1.0,-3,6,6.708203932499369,-2,10,10.198039027185569,2,13,13.152946437965905,8,10,12.806248474865697,8,9,12.041594578792296,3,8,8.54400374531753,1,0,1.0,0,2,2.0,0,0,0.0,28,13,28.442925306655784
2,0,0,0.0,1,0,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.4142135623730951,0,2,2.0,0,0,0.0,-1,1,1.4142135623730951,1,1,1.4142135623730951,0,0,0.0,0,1,1.0,0,1,1.0,-3,4,5.0,-3,4,5.0,-4,5,6.4031242374328485,-5,7,8.602325267042627,-5,7,8.602325267042627,-5,7,8.602325267042627,-4,5,6.4031242374328485,-6,4,7.211102550927978,-3,1,3.1622776601683795,0,0,0.0,-2,1,2.23606797749979,0,0,0.0,-3,-1,3.1622776601683795,0,0,0.0,-2,-2,2.8284271247461903,-1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,-5,5.0990195135927845,2,-7,7.280109889280518,0,-5,5.0,1,-6,6.082762530298219,1,-7,7.0710678118654755,4,-9,9.848857801796104,3,-8,8.54400374531753,4,-10,10.770329614269007,4,-9,9.848857801796104,4,-10,10.770329614269007,4,-13,13.601470508735444,5,-11,12.083045973594572,6,-13,14.317821063276353,3,-11,11.40175425099138,6,-13,14.317821063276353,4,-14,14.560219778561036,4,-14,14.560219778561036,4,-13,13.601470508735444,3,-14,14.317821063276353,4,-13,13.601470508735444,2,-12,12.165525060596439,1,-10,10.04987562112089,-1,-5,5.0990195135927845,-1,-9,9.055385138137417,-1,-7,7.0710678118654755,-2,-2,2.8284271247461903,-3,0,3.0,-4,0,4.0,-1,0,1.0,0,0,0.0,0,0,0.0,3,1,3.1622776601683795,6,2,6.324555320336759,8,5,9.433981132056603,6,6,8.48528137423857,-1,0,1.0,3,0,3.0,0,0,0.0,2,1,2.23606797749979,3,2,3.605551275463989,6,3,6.708203932499369,6,3,6.708203932499369,7,5,8.602325267042627,8,6,10.0,7,7,9.899494936611665,0,0,0.0,8,14,14.560219778561036
